,commodity,level,mode,node_dest,node_loc,technology,time,time_dest,unit,value,year_act,year_vtg
116,electr,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,1.0,2040,2040
117,electr,secondary,M1,South Africa,South Africa,coal_ppl,year,year,GWa,1.0,2050,2050
118,electr,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,1.0,2010,2010
119,electr,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,1.0,2020,2020
120,electr,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,1.0,2030,2030
121,electr,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,1.0,2040,2040
122,electr,secondary,M1,South Africa,South Africa,coal_adv,year,year,GWa,1.0,2050,2050
123,electr,secondary,M1,South Africa,South Africa,coal_adv_ccs,year,year,GWa,1.0,2020,2020
124,electr,secondary,M1,South Africa,South Africa,coal_adv_ccs,year,year,GWa,1.0,2030,2030
125,electr,secondary,M1,South Africa,South Africa,coal_adv_ccs,year,year,GWa,1.0,2040,2040
126,electr,secondary,M1,South Africa,South Africa,coal_adv_ccs,year,year,GWa,1.0,2050,2050
127,electr,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,1.0,2010,2010
128,electr,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,1.0,2020,2020
129,electr,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,1.0,2030,2030
130,electr,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,1.0,2040,2040
131,electr,secondary,M1,South Africa,South Africa,igcc,year,year,GWa,1.0,2050,2050
132,electr,secondary,M1,South Africa,South Africa,igcc_ccs,year,year,GWa,1.0,2020,2020
133,electr,secondary,M1,South Africa,South Africa,igcc_ccs,year,year,GWa,1.0,2030,2030
134,electr,secondary,M1,South Africa,South Africa,igcc_ccs,year,year,GWa,1.0,2040,2040
135,electr,secondary,M1,South Africa,South Africa,igcc_ccs,year,year,GWa,1.0,2050,2050
136,electr,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,1.0,1990,1990
137,electr,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,1.0,1995,1995
138,electr,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,1.0,2000,2000
139,electr,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,1.0,2005,2005
140,electr,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,1.0,2010,2010
141,electr,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,1.0,2020,2020
142,electr,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,1.0,2030,2030
143,electr,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,1.0,2040,2040
144,electr,secondary,M1,South Africa,South Africa,foil_ppl,year,year,GWa,1.0,2050,2050
145,electr,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,1.0,1990,1990
146,electr,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,1.0,1995,1995
147,electr,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,1.0,2000,2000
148,electr,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,1.0,2005,2005
149,electr,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,1.0,2010,2010
150,electr,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,1.0,2020,2020
151,electr,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,1.0,2030,2030
152,electr,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,1.0,2040,2040
153,electr,secondary,M1,South Africa,South Africa,loil_ppl,year,year,GWa,1.0,2050,2050
154,electr,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,1.0,1990,1990
155,electr,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,1.0,1995,1995
156,electr,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,1.0,2000,2000
157,electr,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,1.0,2005,2005
158,electr,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,1.0,2010,2010
159,electr,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,1.0,2020,2020
160,electr,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,1.0,2030,2030
161,electr,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,1.0,2040,2040
162,electr,secondary,M1,South Africa,South Africa,gas_ppl,year,year,GWa,1.0,2050,2050
163,electr,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,1.0,1990,1990
164,electr,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,1.0,1995,1995
165,electr,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,1.0,2000,2000
166,electr,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,1.0,2005,2005
167,electr,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,1.0,2010,2010
168,electr,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,1.0,2020,2020
169,electr,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,1.0,2030,2030
170,electr,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,1.0,2040,2040
171,electr,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,1.0,2050,2050
172,electr,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.0,1995,1995
173,electr,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.0,2000,2000
174,electr,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.0,2005,2005
175,electr,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.0,2010,2010
176,electr,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.0,2020,2020
177,electr,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.0,2030,2030
178,electr,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.0,2040,2040
179,electr,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.0,2050,2050
180,electr,secondary,M1,South Africa,South Africa,gas_cc_ccs,year,year,GWa,1.0,2020,2020
181,electr,secondary,M1,South Africa,South Africa,gas_cc_ccs,year,year,GWa,1.0,2030,2030
182,electr,secondary,M1,South Africa,South Africa,gas_cc_ccs,year,year,GWa,1.0,2040,2040
183,electr,secondary,M1,South Africa,South Africa,gas_cc_ccs,year,year,GWa,1.0,2050,2050
184,electr,secondary,M1,South Africa,South Africa,bio_istig,year,year,GWa,1.0,2010,2010
185,electr,secondary,M1,South Africa,South Africa,bio_istig,year,year,GWa,1.0,2020,2020
186,electr,secondary,M1,South Africa,South Africa,bio_istig,year,year,GWa,1.0,2030,2030
187,electr,secondary,M1,South Africa,South Africa,bio_istig,year,year,GWa,1.0,2040,2040
188,electr,secondary,M1,South Africa,South Africa,bio_istig,year,year,GWa,1.0,2050,2050
189,electr,final,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.0,1990,1990
190,electr,final,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.0,1995,1995
191,electr,final,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.0,2000,2000
192,electr,final,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.0,2005,2005
193,electr,final,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.0,2010,2010
194,electr,final,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.0,2020,2020
195,electr,final,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.0,2030,2030
196,electr,final,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.0,2040,2040
197,electr,final,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.0,2050,2050
198,coal,final,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,1990,1990
199,coal,final,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,1995,1995
200,coal,final,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2000,2000
201,coal,final,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2005,2005
202,coal,final,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2010,2010
203,coal,final,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2020,2020
204,coal,final,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2030,2030
205,coal,final,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2040,2040
206,coal,final,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2050,2050
207,fueloil,final,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,1990,1990
208,fueloil,final,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,1995,1995
209,fueloil,final,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,2000,2000
210,fueloil,final,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,2005,2005
211,fueloil,final,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,2010,2010
212,fueloil,final,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,2020,2020
213,fueloil,final,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,2030,2030
214,fueloil,final,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,2040,2040
215,fueloil,final,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,2050,2050
216,lightoil,final,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,1990,1990
217,lightoil,final,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,1995,1995
218,lightoil,final,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,2000,2000
219,lightoil,final,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,2005,2005
220,lightoil,final,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,2010,2010
221,lightoil,final,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,2020,2020
222,lightoil,final,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,2030,2030
223,lightoil,final,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,2040,2040
224,lightoil,final,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,2050,2050
225,gas,final,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.0,1990,1990
226,gas,final,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.0,1995,1995
227,gas,final,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.0,2000,2000
228,gas,final,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.0,2005,2005
229,gas,final,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.0,2010,2010
230,gas,final,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.0,2020,2020
231,gas,final,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.0,2030,2030
232,gas,final,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.0,2040,2040
233,gas,final,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.0,2050,2050
234,biomass,final,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,1990,1990
235,biomass,final,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,1995,1995
236,biomass,final,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2000,2000
237,biomass,final,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2005,2005
238,biomass,final,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2010,2010
