,commodity,level,mode,node_loc,node_origin,technology,time,time_origin,unit,value,year_act,year_vtg
155,gas,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,2.2988505,2005,2005
156,gas,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,2.5,2010,2010
157,gas,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,2.5,2020,2020
158,gas,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,2.5,2030,2030
159,gas,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,2.5,2040,2040
160,gas,secondary,M1,South Africa,South Africa,gas_ct,year,year,GWa,2.5,2050,2050
161,gas,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.8867924,1995,1995
162,gas,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.8518518,2000,2000
163,gas,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.8181819,2005,2005
164,gas,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.7857143,2010,2010
165,gas,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.7857143,2020,2020
166,gas,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.7857143,2030,2030
167,gas,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.7857143,2040,2040
168,gas,secondary,M1,South Africa,South Africa,gas_cc,year,year,GWa,1.7857143,2050,2050
169,gas,secondary,M1,South Africa,South Africa,gas_cc_ccs,year,year,GWa,2.0833333,2020,2020
170,gas,secondary,M1,South Africa,South Africa,gas_cc_ccs,year,year,GWa,2.0833333,2030,2030
171,gas,secondary,M1,South Africa,South Africa,gas_cc_ccs,year,year,GWa,2.0833333,2040,2040
172,gas,secondary,M1,South Africa,South Africa,gas_cc_ccs,year,year,GWa,2.0833333,2050,2050
173,biomass,primary,M1,South Africa,South Africa,bio_istig,year,year,GWa,2.7027028,2010,2010
174,biomass,primary,M1,South Africa,South Africa,bio_istig,year,year,GWa,2.7027028,2020,2020
175,biomass,primary,M1,South Africa,South Africa,bio_istig,year,year,GWa,2.7027028,2030,2030
176,biomass,primary,M1,South Africa,South Africa,bio_istig,year,year,GWa,2.7027028,2040,2040
177,biomass,primary,M1,South Africa,South Africa,bio_istig,year,year,GWa,2.7027028,2050,2050
178,electr,secondary,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.1904762,1990,1990
179,electr,secondary,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.183432,1995,1995
180,electr,secondary,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.2820513,2000,2000
181,electr,secondary,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.2195122,2005,2005
182,electr,secondary,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.2048193,2010,2010
183,electr,secondary,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.1627907,2020,2020
184,electr,secondary,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.1494253,2030,2030
185,electr,secondary,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.1363636,2040,2040
186,electr,secondary,M1,South Africa,South Africa,elec_t_d,year,year,GWa,1.1235955,2050,2050
187,coal,secondary,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,1990,1990
188,coal,secondary,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,1995,1995
189,coal,secondary,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2000,2000
190,coal,secondary,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2005,2005
191,coal,secondary,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2010,2010
192,coal,secondary,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2020,2020
193,coal,secondary,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2030,2030
194,coal,secondary,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2040,2040
195,coal,secondary,M1,South Africa,South Africa,coal_t_d,year,year,GWa,1.0,2050,2050
196,fueloil,secondary,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0,1990,1990
197,fueloil,secondary,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.002004,1995,1995
198,fueloil,secondary,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.1904762,2000,2000
199,fueloil,secondary,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0638298,2005,2005
200,fueloil,secondary,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.0070493,2010,2010
201,fueloil,secondary,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.010101,2020,2020
202,fueloil,secondary,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.010101,2030,2030
203,fueloil,secondary,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.010101,2040,2040
204,fueloil,secondary,M1,South Africa,South Africa,foil_t_d,year,year,GWa,1.010101,2050,2050
205,lightoil,secondary,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,1990,1990
206,lightoil,secondary,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.002004,1995,1995
207,lightoil,secondary,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0,2000,2000
208,lightoil,secondary,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0309278,2005,2005
209,lightoil,secondary,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.0070493,2010,2010
210,lightoil,secondary,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.010101,2020,2020
211,lightoil,secondary,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.010101,2030,2030
212,lightoil,secondary,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.010101,2040,2040
213,lightoil,secondary,M1,South Africa,South Africa,loil_t_d,year,year,GWa,1.010101,2050,2050
214,gas,secondary,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.6393442,1990,1990
215,gas,secondary,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.5673981,1995,1995
216,gas,secondary,M1,South Africa,South Africa,gas_t_d,year,year,GWa,2.1929824,2000,2000
217,gas,secondary,M1,South Africa,South Africa,gas_t_d,year,year,GWa,2.3364487,2005,2005
218,gas,secondary,M1,South Africa,South Africa,gas_t_d,year,year,GWa,2.173913,2010,2010
219,gas,secondary,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.6666666,2020,2020
220,gas,secondary,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.3831259,2030,2030
221,gas,secondary,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.2820513,2040,2040
222,gas,secondary,M1,South Africa,South Africa,gas_t_d,year,year,GWa,1.1947432,2050,2050
223,biomass,primary,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,1990,1990
224,biomass,primary,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,1995,1995
225,biomass,primary,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0989012,2000,2000
226,biomass,primary,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0989012,2005,2005
227,biomass,primary,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2010,2010
228,biomass,primary,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2020,2020
229,biomass,primary,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2030,2030
230,biomass,primary,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2040,2040
231,biomass,primary,M1,South Africa,South Africa,biomass_t_d,year,year,GWa,1.0,2050,2050
232,electr,final,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.3333334,1990,1990
233,electr,final,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.3333334,1995,1995
234,electr,final,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.3333334,2000,2000
235,electr,final,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.3245033,2005,2005
236,electr,final,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.3157895,2010,2010
237,electr,final,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.2987013,2020,2020
238,electr,final,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.2820513,2030,2030
239,electr,final,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.25,2040,2040
240,electr,final,M1,South Africa,South Africa,sp_el_I,year,year,GWa,1.2195122,2050,2050
241,coal,final,M1,South Africa,South Africa,coal_i,year,year,GWa,2.2222223,1990,1990
242,coal,final,M1,South Africa,South Africa,coal_i,year,year,GWa,2.2222223,1995,1995
243,coal,final,M1,South Africa,South Africa,coal_i,year,year,GWa,2.2222223,2000,2000
244,coal,final,M1,South Africa,South Africa,coal_i,year,year,GWa,2.1276596,2005,2005
245,coal,final,M1,South Africa,South Africa,coal_i,year,year,GWa,2.0408163,2010,2010
246,coal,final,M1,South Africa,South Africa,coal_i,year,year,GWa,1.8518518,2020,2020
247,coal,final,M1,South Africa,South Africa,coal_i,year,year,GWa,1.6949153,2030,2030
248,coal,final,M1,South Africa,South Africa,coal_i,year,year,GWa,1.5625,2040,2040
249,coal,final,M1,South Africa,South Africa,coal_i,year,year,GWa,1.4705882,2050,2050
250,fueloil,final,M1,South Africa,South Africa,foil_i,year,year,GWa,1.8181819,1990,1990
251,fueloil,final,M1,South Africa,South Africa,foil_i,year,year,GWa,1.8181819,1995,1995
252,fueloil,final,M1,South Africa,South Africa,foil_i,year,year,GWa,1.8181819,2000,2000
253,fueloil,final,M1,South Africa,South Africa,foil_i,year,year,GWa,1.754386,2005,2005
254,fueloil,final,M1,South Africa,South Africa,foil_i,year,year,GWa,1.6949153,2010,2010
255,fueloil,final,M1,South Africa,South Africa,foil_i,year,year,GWa,1.5873016,2020,2020
256,fueloil,final,M1,South Africa,South Africa,foil_i,year,year,GWa,1.4925373,2030,2030
257,fueloil,final,M1,South Africa,South Africa,foil_i,year,year,GWa,1.4084507,2040,2040
258,fueloil,final,M1,South Africa,South Africa,foil_i,year,year,GWa,1.3333334,2050,2050
259,lightoil,final,M1,South Africa,South Africa,loil_i,year,year,GWa,1.8181819,1990,1990
260,lightoil,final,M1,South Africa,South Africa,loil_i,year,year,GWa,1.8181819,1995,1995
261,lightoil,final,M1,South Africa,South Africa,loil_i,year,year,GWa,1.8181819,2000,2000
262,lightoil,final,M1,South Africa,South Africa,loil_i,year,year,GWa,1.754386,2005,2005
263,lightoil,final,M1,South Africa,South Africa,loil_i,year,year,GWa,1.6949153,2010,2010
264,lightoil,final,M1,South Africa,South Africa,loil_i,year,year,GWa,1.5873016,2020,2020
265,lightoil,final,M1,South Africa,South Africa,loil_i,year,year,GWa,1.4925373,2030,2030
266,lightoil,final,M1,South Africa,South Africa,loil_i,year,year,GWa,1.4084507,2040,2040
267,lightoil,final,M1,South Africa,South Africa,loil_i,year,year,GWa,1.3333334,2050,2050
268,gas,final,M1,South Africa,South Africa,gas_i,year,year,GWa,1.5384616,1990,1990
269,gas,final,M1,South Africa,South Africa,gas_i,year,year,GWa,1.5384616,1995,1995
270,gas,final,M1,South Africa,South Africa,gas_i,year,year,GWa,1.5384616,2000,2000
271,gas,final,M1,South Africa,South Africa,gas_i,year,year,GWa,1.5037594,2005,2005
272,gas,final,M1,South Africa,South Africa,gas_i,year,year,GWa,1.4705882,2010,2010
273,gas,final,M1,South Africa,South Africa,gas_i,year,year,GWa,1.4084507,2020,2020
274,gas,final,M1,South Africa,South Africa,gas_i,year,year,GWa,1.3513514,2030,2030
275,gas,final,M1,South Africa,South Africa,gas_i,year,year,GWa,1.2987013,2040,2040
276,gas,final,M1,South Africa,South Africa,gas_i,year,year,GWa,1.25,2050,2050
277,biomass,final,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.8867924,1995,1995
278,biomass,final,M1,South Africa,South Africa,biomass_i,year,year,GWa,2.2222223,2000,2000
279,biomass,final,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.9417475,2005,2005
280,biomass,final,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.8867924,2010,2010
281,biomass,final,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.7857143,2020,2020
282,biomass,final,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.6949153,2030,2030
283,biomass,final,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.6129032,2040,2040
284,biomass,final,M1,South Africa,South Africa,biomass_i,year,year,GWa,1.5384616,2050,2050
285,electr,final,M1,South Africa,South Africa,elec_i,year,year,GWa,1.1764706,1990,1990
286,electr,final,M1,South Africa,South Africa,elec_i,year,year,GWa,1.1764706,1995,1995
287,electr,final,M1,South Africa,South Africa,elec_i,year,year,GWa,1.1764706,2000,2000
