scenario,year,iso,name,gini_r,gini_u,i_r,i_u,n_orig,n_orig.1,n_r,n_u
SSP1,2080,ZAF,Gauteng,0.664201616244,0.583690538213,48319.6400378,36560.3059114,91815.0,14236315.0,87634.4389639,14138359.9092
SSP1,2080,ZAF,KwaZulu-Natal,0.539183294728,0.605016418327,32379.2441136,34637.2469132,892785.0,10833667.0,852134.319995,10759124.3367
SSP1,2080,ZAF,Limpopo,0.601536242275,0.636126689015,33270.018442500004,37183.28331090001,441210.0,4749097.0,421120.631871,4716420.12905
SSP1,2080,ZAF,Mpumalanga,0.620180123195,0.64938668212,32976.949659,36967.4531196,381680.0,3673156.0,364301.178062,3647882.30174
SSP1,2080,ZAF,North West,0.6257183069969999,0.65516970373,35923.7552193,35971.6382519,392705.0,3187580.0,374824.182904,3165647.3799
SSP1,2080,ZAF,Northern Cape,0.575491749958,0.65957805483,35470.167127099994,35089.0394627,223212.0,971094.0,213048.612863,964412.242748
SSP1,2080,ZAF,Western Cape,0.598302622725,0.632113187015,36352.7231703,37452.5312942,284772.0,5913671.0,271805.635818,5872981.10377
SSP1,2090,ZAF,Eastern Cape,0.532735630105,0.633310081639,37188.1289017,39477.4383364,411169.0,6195934.0,390504.204984,6149266.88208
SSP1,2090,ZAF,Free State,0.600418546795,0.6381182488480001,39992.8820934,39600.5712379,336419.0,3994531.0,319511.038372,3964444.61606
SSP1,2090,ZAF,Gauteng,0.657038607567,0.5620895566690001,53531.9509505,40826.3701192,65111.0,13481756.0,61838.6096488,13380212.8433
SSP1,2090,ZAF,KwaZulu-Natal,0.517968866392,0.584484425163,36916.1576401,39030.0280565,553966.0,10302412.0,526124.421875,10224815.3252
SSP1,2090,ZAF,Limpopo,0.585887176535,0.628115782084,38162.2564919,41789.3362198,299722.0,4418039.0,284658.379708,4384762.79871
SSP1,2090,ZAF,Mpumalanga,0.600441260162,0.641886273198,37871.147388,41612.5980523,299504.0,3438044.0,284451.336092,3412149.01713
SSP1,2090,ZAF,North West,0.604899192827,0.647796965675,40804.0460948,40636.5408862,293275.0,3020713.0,278535.397164,2997961.30998
SSP1,2090,ZAF,Northern Cape,0.574297828599,0.657950953259,40531.0711448,39836.373183,183221.0,919239.0,174012.561602,912315.389321
SSP1,2090,ZAF,Western Cape,0.588723529135,0.620965096013,41322.8527495,42011.0881796,235769.0,5598685.0,223919.57055300003,5556516.298219998
SSP1,2100,ZAF,Eastern Cape,0.526577105673,0.6173766821419999,42387.46199,44098.9742198,210051.0,5769403.0,198043.370937,5723373.58247
SSP1,2100,ZAF,Free State,0.5716100888,0.6291951762820001,45027.0002297,44305.42471180001,278772.0,3704944.0,262835.914149,3675385.23729
SSP1,2100,ZAF,Gauteng,0.651238278606,0.539320355192,59051.2850144,45168.4140111,42697.0,12492242.0,40256.2130573,12392576.4674
SSP1,2100,ZAF,KwaZulu-Natal,0.499989399192,0.565434198899,41851.4533739,43501.6313415,349129.0,9541376.0,329170.934925,9465253.04938
SSP1,2100,ZAF,Limpopo,0.57082064599,0.619946434467,43376.8184409,46472.5533913,200619.0,4036658.0,189150.554075,4004452.75858
SSP1,2100,ZAF,Mpumalanga,0.578344807965,0.634265109026,43033.558833800016,46332.4318867,225245.0,3168976.0,212368.801323,3143693.2940700008
SSP1,2100,ZAF,North West,0.585588197892,0.640329745841,45998.1317684,45374.0829452,201262.0,2817030.0,189756.796785,2794555.18761
SSP1,2100,ZAF,Northern Cape,0.570296342181,0.6560200976789999,45876.3035382,44656.8293282,135085.0,864900.0,127362.825043,857999.65984
SSP1,2100,ZAF,Western Cape,0.57603760083,0.60987617847,46561.5386055,46645.0290503,179938.0,5200605.0,169651.789707,5159113.56338
SSP2,2010,ZAF,Eastern Cape,0.5916738971859999,0.7055499399099999,2365.15735586,5519.52277326,2666471.33682,2666471.33682,2666471.33682,2666471.33682
SSP2,2010,ZAF,Free State,0.7071532414820001,0.689595934347,5937.68743354,5164.84660664,2561743.32359,2561743.32359,2561743.32359,2561743.32359
SSP2,2010,ZAF,Gauteng,0.728510058443,0.670919889801,18131.2357363,9671.67037465,9592585.21169,9592585.21169,9592585.21169,9592585.21169
SSP2,2010,ZAF,KwaZulu-Natal,0.650143761066,0.6780478079410001,3041.30455735,6496.30376369,5622651.71023,5622651.71023,5622651.71023,5622651.71023
SSP2,2010,ZAF,Limpopo,0.6135485853729999,0.648952304195,2792.31802799,7737.51791152,1954945.24694,1954945.24694,1954945.24694,1954945.24694
SSP2,2010,ZAF,Mpumalanga,0.6349624587380001,0.684548309168,3536.95299725,7577.54315138,2280259.28803,2280259.28803,2280259.28803,2280259.28803
SSP2,2010,ZAF,North West,0.7543054855589999,0.6946874951500001,6792.26151784,6119.43902289,2021985.25541,2021985.25541,2021985.25541,2021985.25541
SSP2,2010,ZAF,Northern Cape,0.49308619505,0.6669965833470001,6083.05380878,5589.80226773,508157.064188,508157.064188,508157.064188,508157.064188
SSP2,2010,ZAF,Western Cape,0.555503229066,0.65899914494,7185.53078369,8410.74169379,3982951.50311,3982951.50311,3982951.50311,3982951.50311
SSP2,2020,ZAF,Eastern Cape,0.617256821733,0.701152886611,3920.528639900001,7936.34738172,4830927.0,3123909.0,4724254.95179,3113257.35701
SSP2,2020,ZAF,Free State,0.6925764851389999,0.6896321523160001,7634.5758955,7585.75903587,834757.0,3141487.0,816324.670357,3130775.42102
SSP2,2020,ZAF,Gauteng,0.705686315498,0.6899987491799999,19845.2259846,11849.202459200002,221985.0,10740042.0,217083.333173,10703421.5053
SSP2,2020,ZAF,KwaZulu-Natal,0.679650539339,0.687701206225,4579.74785236,8796.61347792,5205842.0,6625569.0,5090891.426580002,6602977.6903300015
SSP2,2020,ZAF,Limpopo,0.626078710041,0.657780675499,4381.64563363,10135.0751061,3300632.0,2987610.0,3227750.50628,2977423.09791
