scenario,iso,year,pop,gdp,urbanization,gini,gdppc,hh_gdp,income,k_i,k_t,n_u,n_r,i_r,i_u,g_u,g_r,T,T_emp,T_b,T_w,T_w_emp,t_r,t_r_emp,t_u,t_u_emp,gini_r,gini_u,gini_r_emp,gini_u_emp
SSP1,ZAF,2065,61587000.0,3021480334620.0,0.90117,0.635917201111,49060.359079400005,1783154194030.0,28953.4186441,1.0875808362600001,1.1726762858,55500356.79,6086643.21,26835.426633900002,29185.6957398,1619816526730.0,163337667309.0,0.823761098857,0.7163625087459999,0.00030004490105699997,0.8234610539560001,0.7160624638449999,0.711807581505,0.61897121685,0.834719870886,0.725852867595,0.601155609013,0.639088729845,0.596932414534,0.639491892815
SSP1,ZAF,2070,60580000.0,3211429565840.0,0.9143399999999999,0.630362515,53011.382730900004,1895254466350.0,31285.1513098,1.07717328968,1.1697366335,55390717.2,5189282.8,29223.093128099998,31478.3353593,1743607571820.0,151646894532.0,0.8048828185760001,0.7018108166850001,0.000207693151743,0.8046751254250001,0.701603123533,0.695992231499,0.60684157885,0.814127609814,0.709844825511,0.595866351697,0.633097271337,0.591761037393,0.6334403758330001
SSP1,ZAF,2075,59213000.0,3368369504800.0,0.9259,0.624425647778,56885.6417477,1987874003590.0,33571.5806257,1.06676574309,1.16679698119,54825316.7,4387683.3,31617.064252499997,33728.001041799995,1849148338770.0,138725664816.0,0.785137987659,0.6865151616140001,0.000138126092927,0.784999861566,0.686377035521,0.6795612475339999,0.594185116934,0.792910012159,0.6932934007089999,0.590262152113,0.626778350301,0.5862843204129999,0.62706914381
SSP1,ZAF,2080,57540000.0,3495629910780.0,0.93601,0.618151674444,60751.3018905,2062977893570.0,35852.935237599995,1.0563581965100002,1.16385732889,53858015.4,3681984.6,34056.3977454,35975.754902099994,1937582761540.0,125395132030.0,0.764742842922,0.670632873394,8.71973916572e-05,0.7646556455310001,0.670545676002,0.662672071824,0.5811137274220001,0.771255747443,0.676333470579,0.584381816539,0.62017114305,0.580539203228,0.620416599396
SSP1,ZAF,2085,55624000.0,3591950845110.0,0.9448200000000001,0.61154091,64575.5581244,2119822572010.0,38109.8549549,1.0459506499299998,1.16091767658,52554667.68,3069332.32,36524.155351099995,38202.46402769999,2007717801530.0,112104770480.0,0.743759943043,0.6542035904119999,5.12300422569e-05,0.743708713,0.654152360369,0.6453520855680001,0.56763969907,0.7492006437559999,0.658982960581,0.578220651647,0.613270570256,0.5745199448139999,0.613476894552
SSP1,ZAF,2090,53526000.0,3662168491530.0,0.9524799999999999,0.604684138333,68418.49739430001,2161262156860.0,40377.8006364,1.03554310335,1.15797802428,50982444.48,2543555.52,39055.6083578,40443.7658819,2061922048640.0,99340108225.3,0.722528206654,0.6374857522190001,2.703023543e-05,0.722501176418,0.637458721983,0.627870574652,0.553966674591,0.7270603275390001,0.64148123536,0.5718625214540001,0.60616228654,0.5683079365420001,0.606335010484
SSP1,ZAF,2095,51285000.0,3708026957250.0,0.9591299999999999,0.5975319738889999,72302.3682802,2188325948920.0,42669.9024845,1.02513555677,1.1550383719700001,49188982.05,2096017.95,41665.421399,42712.7049638,2100994477770.0,87331471146.7,0.700939984155,0.620388890954,1.18967021841e-05,0.700928087453,0.620376994252,0.610112203977,0.539997728775,0.704703006803,0.6237180975150001,0.565254433507,0.598792086236,0.561850059969,0.598936004166
SSP1,ZAF,2100,48935000.0,3728576611650.0,0.96488,0.590099534444,76194.4745408,2200453515010.0,44966.8645143,1.01472801018,1.15209871967,47216402.8,1718597.2,44336.804714,44989.7976253,2124256406570.0,76197108438.4,0.6790893907800001,0.602981499507,3.58916548395e-06,0.6790858016150001,0.602977910341,0.5921406843020001,0.525777083837,0.6822045242479999,0.60574710512,0.558407478769,0.591171363729,0.5551563372789999,0.591290721782
SSP2,ZAF,2010,50133000.0,522418981248.0,0.6221800000000001,0.6938,10420.6606676,308310329470.0,6149.84799374,2.0696348251299996,1.06903856043,31191749.94,18941250.06,3692.48157968,7642.08846846,238370112527.0,69940216942.7,1.0469957871,0.8833861186799998,0.052239137651500005,0.994756649451,0.831146981029,0.944349933101,0.789030760804,1.00954649302,0.843504308665,0.66883834474,0.684988490245,0.662368621585,0.6808914462469999
SSP2,ZAF,2015,52493000.0,628673073830.0,0.64577,0.693665623333,11976.3220588,371017151901.0,7067.93576097,1.97023569033,1.0820956556,33898404.61,18594595.39,4345.35653022,8561.37652302,290217005396.0,80800146504.7,1.04641419963,0.8829623851899999,0.0440042647971,1.00240993484,0.838958120393,0.941922624516,0.7883338015279999,1.0192503799,0.853052581797,0.668216118152,0.687303112857,0.66212465051,0.684030645434
SSP2,ZAF,2020,54797000.0,780387293449.0,0.67152,0.693286161111,14241.423681,460552683179.0,8404.70615507,1.8708365555200002,1.09515275077,36797281.44,17999718.56,5303.375909,9921.74951823,365093409399.0,95459273779.9,1.04477365605,0.8817668118790001,0.036105795598499996,1.0086678604500001,0.8456610162809999,0.9379202256299999,0.7863466283570001,1.0271659151,0.861169673106,0.667186719041,0.689174756567,0.661428042766,0.686674949965
SSP2,ZAF,2025,56845000.0,949444651118.0,0.69457,0.6917861433329999,16702.3423541,560323425654.0,9857.03976874,1.7714374207199999,1.10820984594,39482831.65,17362168.35,6418.10704787,11369.2749948,448891170601.0,111432255053.0,1.0383142518100001,0.877055032582,0.0290157536572,1.00929849815,0.848039278924,0.9287823455930001,0.7803874791040001,1.0292857401200002,0.864833087995,0.664820468182,0.6896735141850001,0.6593301652019999,0.6878611206659999
SSP2,ZAF,2030,58585000.0,1127112506550.0,0.71522,0.6896256177779999,19238.9264581,665175731965.0,11354.028027,1.6720382859099998,1.12126694111,41901163.7,16683836.3,7668.245687299999,12821.600375,537239976207.0,127935755755.0,1.02908197785,0.870308417446,0.0226907975981,1.00639118025,0.847617619848,0.9166149652519999,0.7720049722329999,1.02777005827,0.865623653741,0.6616346556220001,0.6893170071170001,0.656356413167,0.6881165076870001
SSP2,ZAF,2035,60028000.0,1312341094260.0,0.73375,0.6879977522220001,21862.1492348,774490073433.0,12902.146888700001,1.57263915111,1.13432403629,44045545.0,15982455.0,9084.90586119,14287.2786414,629290974329.0,145199099106.0,1.02218091597,0.865255958776,0.0170946131469,1.00508630283,0.8481613456300001,0.906184130072,0.764700851049,1.02790644004,0.867418555913,0.658871087354,0.689349107615,0.653743300436,0.688695565063
SSP2,ZAF,2040,61254000.0,1507220041770.0,0.7504,0.685784838333,24606.0672246,889499662804.0,14521.495131799998,1.4732400163100001,1.14738113146,45965001.6,15288998.4,10716.027027,15787.279831900001,725662342734.0,163837320069.0,1.01287458218,0.858429710801,0.0122073962576,1.00066718592,0.846222314543,0.893265467495,0.7553971810439999,1.02491594279,0.8667284722859999,0.655406071316,0.688644234963,0.650384873771,0.6884730626790001
SSP2,ZAF,2045,62250000.0,1707339013610.0,0.76541,0.682982555,27427.132748699998,1007601700350.0,16186.372696399998,1.3738408815,1.16043822663,47646772.5,14603227.5,12585.2187169,17290.0879759,823816888291.0,183784812060.0,1.0012118839700002,0.849854130005,0.00803210577321,0.993179778196,0.8418220242319999,0.878007518729,0.744201687281,1.0188734879999999,0.863600086243,0.651252014757,0.687213629947,0.646298379566,0.6874623908230001
SSP2,ZAF,2050,63045000.0,1910610583020.0,0.77898,0.680524205556,30305.505322000005,1127564272140.0,17885.070539099997,1.2744417467,1.1734953218000002,49110794.1,13934205.9,14734.9620929,18778.8508272,922244276407.0,205319995731.0,0.991091312297,0.842393472756,0.00460624810312,0.9864850641940001,0.8377872246529999,0.86389546499,0.7336761703489999,1.01377728669,0.860965553621,0.647349135433,0.686000384444,0.642410688602,0.6866087261630001
SSP2,ZAF,2055,63631000.0,2122212052510.0,0.79127,0.678750968889,33351.8576246,1252442810470.0,19682.903152000003,1.2540084334100001,1.1771032376600001,50349301.37,13281698.63,16388.908644400002,20551.829654400004,1034770264980.0,217672545489.0,0.9838545415979999,0.837047787867,0.00386114668505,0.979993394913,0.833186641182,0.854901639515,0.726834108542,1.00630748775,0.8555587824070001,0.6448306242,0.684210921313,0.639859362381,0.684849466047
SSP2,ZAF,2060,64042000.0,2346408506970.0,0.80245,0.676635865,36638.5888475,1384754394120.0,21622.5975785,1.23357512012,1.1807111535200001,51390502.9,12651497.1,18209.540513900003,22462.8361268,1154376445120.0,230377949004.0,0.975291077419,0.830710282201,0.00319999834654,0.972091079073,0.827510283855,0.8448214967730001,0.7191697276639999,0.9974901639749999,0.849131718728,0.64197854876,0.6820814222179999,0.636978490039,0.6827453478300001
SSP2,ZAF,2065,64183000.0,2575722843230.0,0.81263,0.674311252778,40130.9200759,1520086342430.0,23683.6287246,1.21314180684,1.1843190693799999,52157031.29,12025968.71,20187.1114724,24489.8288865,1277316771520.0,242769570913.0,0.9659642605959999,0.8237931913429999,0.00261614736655,0.9633481132289999,0.821177043977,0.83415293411,0.71104851014,0.9879032266490001,0.842108309815,0.638925592826,0.6797446152609999,0.633899145596,0.680429862523
SSP2,ZAF,2070,64028000.0,2805306773350.0,0.82194,0.6733786372220001,43813.7498181,1655577394010.0,25857.084307,1.19270849355,1.1879269852399998,52627174.32,11400825.68,22321.477857700003,26623.016229499997,1401094116030.0,254483277976.0,0.9622471334880001,0.821032160336,0.00210320289936,0.960143930588,0.818928957437,0.828395696604,0.706557842583,0.984073602456,0.83933912784,0.6372631593770001,0.6788048355609999,0.632184449161,0.6795122488070001
SSP2,ZAF,2075,63591000.0,3034585897350.0,0.83047,0.672402625556,47720.3676204,1790888561480.0,28162.6104556,1.17227518026,1.19153490111,52810417.77,10780582.23,24637.7089795,28882.1747352,1525279713870.0,265608847612.0,0.958372070834,0.818151209108,0.00165584432676,0.9567162265070001,0.816495364781,0.822537262379,0.701982305186,0.980081855585,0.8364364165870001,0.635560627118,0.677821401826,0.6304285014100001,0.6785475375360001
SSP2,ZAF,2080,62884000.0,3259596635310.0,0.8383200000000001,0.671317433889,51835.0714857,1923680701970.0,30590.9404932,1.15184186698,1.19514281697,52716914.88,10167085.12,27136.6589022,31257.139853400004,1647779981040.0,275900720931.0,0.9540814680799999,0.8149582062890001,0.00126927087475,0.9528121972050001,0.813688935414,0.816354619266,0.697155979971,0.975660359313,0.833200961768,0.633751850097,0.676727452877,0.6285665559220001,0.677468786443
SSP2,ZAF,2085,62019000.0,3478353896100.0,0.84555,0.670129843333,56085.2947661,2052782295850.0,33099.2485504,1.13140855369,1.19875073283,52440165.45,9578834.55,29789.2863898,33703.8534297,1767435650160.0,285346645690.0,0.9494075089480001,0.811476179236,0.00093959275238,0.9484679161949999,0.810536586484,0.809878701539,0.692101764332,0.970842686971,0.8296574971840001,0.631843884953,0.675529894895,0.626605868137,0.676283144101
SSP2,ZAF,2090,61000000.0,3690416426110.0,0.8522200000000001,0.668820998333,60498.6299362,2177932933250.0,35703.818577900005,1.1109752404000002,1.20235864869,51985420.0,9014580.0,32618.877793,36238.7655977,1883887449880.0,294045483375.0,0.944282182402,0.8076533969130001,0.000663426723275,0.943618755679,0.80698997019,0.803053854268,0.686777792425,0.965558747042,0.8257532184499999,0.629818117101,0.6742096821699999,0.624528449466,0.67497166784
