Model,Scenario,Region,Variable,Unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
History,IEA Energy Statistics (2017),South Africa,Final Energy,EJ/yr,1.39034166,1.44444713,1.55289007,1.56072114,1.66775149,1.72806029,1.74670838,1.78260312,1.76335359,1.83142644,1.9211445,1.83949465,1.78591869,1.90407684,1.9140338,1.90686592,1.97022133,2.07685377,2.12538334,2.13729345,2.1056597,2.00400131,1.99720722,2.05398094,2.18909354,2.31818272,2.3998115,2.39548059,2.32529756,2.34824587,2.31358302,2.43633882,2.55197145,2.65707927,2.69134735,2.72541006,2.9088269,2.95104509,3.06464562,2.85579627,2.91486695,2.98890364,3.12449634,3.11836473,3.13133539
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Biomass,EJ/yr,0.39143331,0.41054525,0.42618112,0.45178427,0.49453058,0.47565029,0.47066787,0.4748993,0.48765276,0.50092748,0.54793741,0.56393671,0.56692434,0.62386837,0.62488714,0.63688483,0.67487754,0.70487416,0.74286928,0.75888279,0.77387991,0.78583017,0.79987253,0.81585526,0.83285199,0.84637184,0.85895898,0.87356533,0.89534685,0.9166709,0.93569495,0.94745894,0.95971144,0.97238848,0.98547324,0.99905571,1.01313483,1.02770498,1.04283272,1.05851925,1.07472378,1.09151766,1.1089532,1.12704843,1.14574571
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Coal,EJ/yr,2.19985805,2.21463444,2.35329094,2.43936678,2.57157397,2.70290234,2.72211384,2.83921134,2.9459518,3.13974008,3.46700488,3.67549911,3.69524412,3.96032795,3.99575787,4.09132519,4.24277192,4.31905109,4.14103075,4.0316714,4.14680656,3.87108319,4.24138128,4.35182208,4.55076678,4.66767496,4.82486521,4.75311326,4.76322413,4.7869414,4.76392633,4.7276954,5.16906364,5.55744706,5.46216922,5.54399137,5.70107328,6.09287329,6.14876343,5.76567585,5.60266424,5.63628781,5.63230231,5.92017946,5.62281552
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Fossil,EJ/yr,2.92908494,2.99225492,3.21282537,3.27339531,3.46562725,3.61111461,3.66165641,3.81399992,3.85033582,4.05100316,4.42165347,4.6072709,4.6021013,4.92048347,4.91158794,4.98378237,5.18626154,5.34611765,5.18364607,5.15797687,5.27064912,4.93478788,5.22720846,5.36659154,5.69364765,5.79375927,5.96310856,5.90746284,5.89026468,5.87700247,6.0425149,6.03561329,6.49793435,7.06147478,7.08371232,7.08467936,7.62803108,8.10224748,8.06722951,7.72790667,7.78219601,7.7317914,7.82038185,8.04933935,7.88633164
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Gas,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06298203,0.06388178,0.06433165,0.07179324,0.07179324,0.07179324,0.06461417,0.05769155,0.04857086,0.06354708,0.05850492,0.07600851,0.07536608,0.04518332,0.1163917,0.11549016,0.11203245,0.1443656,0.14853502,0.12872178,0.19653995,0.23357609,0.24153159,0.24304227,0.23256652,0.2509969
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Geothermal,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Hydro,EJ/yr,0.00080647,0.00600534,0.00709264,0.00815113,0.00806473,0.01350842,0.01399806,0.01373164,0.00823754,0.00714304,0.01190267,0.00731586,0.00428439,0.00403236,0.0044932,0.01168665,0.01164345,0.02276845,0.01986659,0.00727265,0.01425728,0.00541489,0.00105129,0.0077335,0.00380914,0.00949765,0.01506376,0.01148503,0.00522767,0.00792791,0.01429329,0.01715914,0.00504765,0.00684062,0.00959126,0.02086748,0.00625016,0.00866238,0.01008091,0.01522217,0.01481173,0.00867678,0.00834555,0.00702063,0.00576772
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Nuclear,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569559,0.07712625,0.12774081,0.08948969,0.15226448,0.16105821,0.12260392,0.13268909,0.13477867,0.1052777,0.1407137,0.16398942,0.17086765,0.18352131,0.19736485,0.18627841,0.18878883,0.15554398,0.17400204,0.1837535,0.19394024,0.16387333,0.14548782,0.16422161,0.18870174,0.18582856,0.17556926,0.19592826,0.17346515,0.20469293,0.20016549,0.17757176
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Ocean,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,IEA Energy Statistics (2017),South Africa,Primary Energy|Oil,EJ/yr,0.72922689,0.77762048,0.85953443,0.83402853,0.89405328,0.90821227,0.93954257,0.97478858,0.90438402,0.91126308,0.95464859,0.93177179,0.90685718,0.96015552,0.91583007,0.89245718,0.94348962,1.02706656,1.04261532,1.06332344,1.05996078,0.99937304,0.91403394,0.94297622,1.07108763,1.06147014,1.0805518,1.10577872,1.06349347,1.03155615,1.20258006,1.23255181,1.28368739,1.38763602,1.50605294,1.42865554,1.7825922,1.86083917,1.7897443,1.76569087,1.94595568,1.853972,1.94503727,1.89659337,2.01251922
