,lvl,mode,mrg,node_loc,technology,time,year_act,year_vtg
267,0.2718843,M1,0.0,South Africa,gas_cc,year,2020,2020
268,0.03198639,M1,0.0,South Africa,gas_cc,year,2030,2020
269,0.03198639,M1,0.0,South Africa,gas_cc,year,2040,2020
270,0.06281381,M1,0.0,South Africa,gas_cc,year,2030,2030
271,0.06281381,M1,0.0,South Africa,gas_cc,year,2040,2030
272,0.06281381,M1,0.0,South Africa,gas_cc,year,2050,2030
273,0.02190182,M1,0.0,South Africa,gas_cc,year,2040,2040
274,0.02190182,M1,0.0,South Africa,gas_cc,year,2050,2040
275,0.0076366924,M1,0.0,South Africa,gas_cc,year,2050,2050
276,0.0,M1,0.6868514,South Africa,gas_cc_ccs,year,2020,2020
277,0.0,M1,21.087704,South Africa,gas_cc_ccs,year,2030,2020
278,0.0,M1,20.039629,South Africa,gas_cc_ccs,year,2040,2020
279,0.0,M1,21.087704,South Africa,gas_cc_ccs,year,2030,2030
280,0.0,M1,20.039629,South Africa,gas_cc_ccs,year,2040,2030
281,0.0,M1,14.994469,South Africa,gas_cc_ccs,year,2050,2030
282,0.0,M1,20.039629,South Africa,gas_cc_ccs,year,2040,2040
283,0.0,M1,14.994469,South Africa,gas_cc_ccs,year,2050,2040
284,0.0,M1,14.994469,South Africa,gas_cc_ccs,year,2050,2050
285,0.0,M1,0.0,South Africa,gas_ct,year,1990,1990
286,0.0,M1,0.0,South Africa,gas_ct,year,1995,1990
287,0.0,M1,0.0,South Africa,gas_ct,year,2000,1990
288,0.0,M1,0.0,South Africa,gas_ct,year,2005,1990
289,0.0,M1,0.0,South Africa,gas_ct,year,2010,1990
290,0.0,M1,15.246326,South Africa,gas_ct,year,2020,1990
291,0.0,M1,0.0,South Africa,gas_ct,year,1995,1995
292,0.0,M1,0.0,South Africa,gas_ct,year,2000,1995
293,0.0,M1,0.0,South Africa,gas_ct,year,2005,1995
294,0.0,M1,0.0,South Africa,gas_ct,year,2010,1995
295,0.0,M1,15.246326,South Africa,gas_ct,year,2020,1995
296,0.0,M1,0.0,South Africa,gas_ct,year,2000,2000
297,0.0,M1,0.0,South Africa,gas_ct,year,2005,2000
298,0.0,M1,0.0,South Africa,gas_ct,year,2010,2000
299,0.0,M1,15.246326,South Africa,gas_ct,year,2020,2000
300,0.0,M1,32.608692,South Africa,gas_ct,year,2030,2000
301,0.0,M1,0.0,South Africa,gas_ct,year,2005,2005
302,0.0,M1,0.0,South Africa,gas_ct,year,2010,2005
303,0.0,M1,15.246326,South Africa,gas_ct,year,2020,2005
304,0.0,M1,32.608692,South Africa,gas_ct,year,2030,2005
305,0.0,M1,0.0,South Africa,gas_ct,year,2010,2010
306,0.0,M1,15.246326,South Africa,gas_ct,year,2020,2010
307,0.0,M1,32.608692,South Africa,gas_ct,year,2030,2010
308,0.0,M1,27.516989,South Africa,gas_ct,year,2040,2010
309,0.0,M1,0.0,South Africa,gas_ct,year,2020,2020
310,0.0,M1,0.0,South Africa,gas_ct,year,2030,2020
311,0.0,M1,19.441732,South Africa,gas_ct,year,2040,2020
312,1.0928712,M1,0.0,South Africa,gas_ct,year,2030,2030
313,1.0928712,M1,0.0,South Africa,gas_ct,year,2040,2030
314,1.0928712,M1,0.0,South Africa,gas_ct,year,2050,2030
315,0.57482654,M1,0.0,South Africa,gas_ct,year,2040,2040
316,0.57482654,M1,0.0,South Africa,gas_ct,year,2050,2040
317,0.96903694,M1,0.0,South Africa,gas_ct,year,2050,2050
318,0.0,M1,0.0,South Africa,gas_ppl,year,1990,1980
319,0.0,M1,0.0,South Africa,gas_ppl,year,1995,1980
320,0.0,M1,0.0,South Africa,gas_ppl,year,2000,1980
321,0.0,M1,0.0,South Africa,gas_ppl,year,2005,1980
322,0.0,M1,0.0,South Africa,gas_ppl,year,1990,1985
323,0.0,M1,0.0,South Africa,gas_ppl,year,1995,1985
324,0.0,M1,0.0,South Africa,gas_ppl,year,2000,1985
325,0.0,M1,0.0,South Africa,gas_ppl,year,2005,1985
326,0.0,M1,0.0,South Africa,gas_ppl,year,2010,1985
327,0.0,M1,0.0,South Africa,gas_ppl,year,1990,1990
328,0.0,M1,0.0,South Africa,gas_ppl,year,1995,1990
329,0.0,M1,0.0,South Africa,gas_ppl,year,2000,1990
330,0.0,M1,0.0,South Africa,gas_ppl,year,2005,1990
331,0.0,M1,0.0,South Africa,gas_ppl,year,2010,1990
332,0.0,M1,0.0,South Africa,gas_ppl,year,2020,1990
333,0.0,M1,0.0,South Africa,gas_ppl,year,1995,1995
334,0.0,M1,0.0,South Africa,gas_ppl,year,2000,1995
335,0.0,M1,0.0,South Africa,gas_ppl,year,2005,1995
336,0.0,M1,0.0,South Africa,gas_ppl,year,2010,1995
